#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mexikha_offmap_boon_decisions_enabled_trigger_cd_tt;Has NOT requested a boon from §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_offmap_tribute_decisions_enabled_trigger_cd_tt;Has NOT sent tribute to §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_boon_available_tt;§Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! has NOT granted you a boon within the last year;;;;;;;;;;;;;x
mexikha_tribute_available_tt;Paying tribute to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! is currently available.;;;;;;;;;;;;;;x
peace_deal_with_mexikha;Peace Deal With Mexikha;;;;;;;;;;;;;x
peace_deal_with_mexikha_desc;Mexikha will not attack this ruler while the peace deal is active.;;;;;;;;;;;;;x

mexikha_offmap_decisions_enabled_trigger_war_tt;Is at peace with §Y[From.GetTitledFirstName]§!;;;;;;;;;;;;;;x

tributaries_of_MP;Imperial Tributary;Tributaire impérial;Kaiserlicher Tributstaat;;Tributario imperial;;;;;;;;;x
mexikha_raid_active_desc;This character is currently sending raiding parties to cross the border to Mexikha, angering the Huetlatoani but bringing home a steady stream of loot each year.;;;;;;;;;;;;;;x
mexikha_offmap_boon_decisions_enabled_trigger_raiding_tt;Has NOT raided the §Y[Root.Offmap.GetFullName]§! in the last 5 years[From.GetRaidCD];;;;;;;;;;;;;;x
mexikha_stop_raid;Stop Raiding the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x
mexikha_stop_raid_desc;Raiding the §Y[Root.Offmap.GetFullName]§! is lucrative, but dangerous - we should withdraw our raiders from Mexikha.\n\nWe will no longer be considered a priority target, but neither will we be able to raid Mexikha again for 5 years.;;;;;;;;;;;;;;x

mexikha_force_to_open;Force Open the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x
mexikha_force_to_open_desc;The §Y[offmap_mexikha.GetFullName]§! has isolated itself from the rest of the world. They have closed down trade across the Triangular Trade Route and refuse to deal with any outsiders. §Y[offmap_mexikha.Ruler.GetMediumMexikhanHuetlatoaniName]§! must be forced to reopen their land, by negotiation or if necessary by force.;;;;;;;;;;;;;;x
force_open_mexikha_start_tt;You will choose a method to open the §Y[offmap_mexikha.GetFullName]§!: Defeating them in §Ywar§!, controlling a §Ystarting point§! of the Triangular Trade Route and §Y25%§! of its wealth or by §Ynegotiating§! a treaty.;;;;;;;;;;;;;;x
force_open_mexikha_triangular_trade_route_conditions_tt;This option is available as you control a §Ystarting point§! of the Triangular Trade Route and §Y25% of the wealth§! along it.;;;;;;;;;;;;;;x
force_open_mexikha_triangular_trade_route_tt;You will force open trade along the Triangular Trade Route much to the anger of §Y[offmap_mexikha.GetFullName]§!.;;;;;;;;;;;;;;x
force_open_mexikha_negotiate_tt;You will negotiate a deal with §Y[offmap_mexikha.GetFullName]§! to open up trade along the Triangular Trade Route.;;;;;;;;;;;;;;x
mexikha_forced_open_tt;Will NOT be able to change to the Isolationist Policy for §Y50§! years;;;;;;;;;;;;;;x
force_mexikha_open_cooldown_tt;Has NOT attempted to force the §Y[offmap_mexikha.GetFullName]§! open in the past §Y15§! years;;;;;;;;;;;;;;x

mexikha_invade_skull_throne;Invade the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x
mexikha_invade_skull_throne_desc;The §Y[offmap_mexikha.GetFullName]§! is stable and prospering, with the arrogant [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap] convinced of their invincibility - you will prove them wrong!\n\nInvading Mexikha is no easy task - you will face the full might of their armies, while suffering a §R75%§! penalty to your §YLevy Reinforcement Rate§!. Winning means placing your §YDynasty§! on the Skull Throne, and you will also receive vast spoils of war. If you lose your realm will be §Rshattered§!!;;;;;;;;;;;;;;x
mexikha_invade_skull_throne_failed_tt;Has NOT failed an invasion of Mexikha;;;;;;;;;;;;;;x
mexikha_invade_skull_throne_modifiers_tt;All of your current §Y[offmap_mexikha.GetCurrency]§! and §Ymodifiers§! from §Y[offmap_mexikha.GetShortName]§! will be §Rremoved§!.;;;;;;;;;;;;;;x
war_with_mexikha_modifier;War With Mexikha;;;;;;;;;;;;;;x
war_with_mexikha_modifier_desc;You have sent vast numbers of your troops to attack the Mexikhan heartland.;;;;;;;;;;;;;;x
failed_invasion_of_mexikha;Failed Invasion of Mexikha;;;;;;;;;;;;;;x
mexikha_offmap_decisions_failed_invasion_tt;Has NOT failed an invasion of the §Y[offmap_mexikha.GetFullName]§!;;;;;;;;;;;;;;x
invasion_of_mexikha_cb_fail_tt;You will NOT be able to interact with the §Y[offmap_mexikha.GetFullName]§!;;;;;;;;;;;;;;x
mexikha_invade_skull_throne_levies_tt;Has NOT raised any vassal levies;;;;;;;;;;;;;;x
mexikha_invade_skull_throne_war_tt;Is NOT currently being invaded;;;;;;;;;;;;;;x
invasion_of_mexikha_success_tt;Your [invasion_of_mexikha_claimant.GetRootRelation], §Y[invasion_of_mexikha_claimant.GetBestName]§!, will become the new §Y[invasion_of_mexikha_claimant.GetTlatoaniCihuatlatoaniCap] of Mexikha§!. Any of their immediate family, who are not landed or the primary heir to a title, will join them on the Subcontinent.\nAny land held by the Northern Rashtras will be transfered to you.;;;;;;;;;;;;;;x

mexikha_tributary_break_free;Free Tributary;;;;;;;;;;;;;;x
mexikha_tributary_break_free_desc;You can declare war against the §Y[offmap_mexikha.GetFullName]§! to free yourself from your status as an §YImperial Tributary§!. If §Y[offmap_mexikha.GetShortName]§! is currently suffering from an §Rinvasion§! or a §Rcivil war§! then you can free yourself via a §Ydecision§! in the intrigue screen.;;;;;;;;;;;;;;x

TXT_GRACE_MEXIKHA;Antilytron;;;;;;;;;;;;;;x
TXT_GRACE_MEXIKHA_desc;\nAntilytron is gained by §YPaying Tribute§! to the current Huetlatoani, you can use accumulated Antilytron to §GAsk for Boons§!. Any Antilytron you have accumulated will be passed on to your heir during succession.\n§RAll Antilytron is lost should the Dynasty change in Mexikha!§!;;;;;;;;;;;;;;x

monthly_mexikhan_grace;Monthly Antilytron;Antilytron mensuelle;Monatliche Antilytron;;Antilytron mensual;;;;;;;;;x
vassal_of_MP;Is a vassal of the Mexikha;;;;;;;;;;;;;;x

HUETLATOANI_LIKES_LABEL;The Huetlatoani Likes;;;;;;;;;;;;;;x
HUETLATOANI_DISLIKES_LABEL;The Huetlatoani Dislikes;;;;;;;;;;;;;;x

huetlatoani_likes_THIS_tt;(§GThe Huetlatoani Likes [This.GetLike]§!);;;;;;;;;;;;;;x
huetlatoani_dislikes_THIS_tt;(§RThe Huetlatoani Dislikes [This.GetDislike]§!);;;;;;;;;;;;;;x
huetlatoani_has_ambiguous_feelings_of_THIS_tt;(§GThe Huetlatoani Likes [This.GetLike]§! but §RDislikes [This.GetDislike]§!);;;;;;;;;;;;;;x

OFFMAP_LIKES_TOOLTIP;The [Root.Ruler.GetTitle] Likes $CURRENT|Y$;;;;;;;;;;;;;;x
OFFMAP_DISLIKES_TOOLTIP;The [Root.Ruler.GetTitle] Dislikes $CURRENT|Y$;;;;;;;;;;;;;;x
OFFMAP_LIKES_AND_DISLIKES_DESC;§L[Root.GovernorTitle.GetAdjective] [Root.Ruler.GetTitle]s have varying interests and tastes. This has a big impact on all actions when trying to gain the [Root.Ruler.GetTitle]'s Antilytron. The [Root.Ruler.GetTitle] takes note both of your own qualities (e.g. Culture) and those of your specific offering (e.g. a Concubine)...§!;;;;;;;;;;;;;;x

OFFMAP_RULER_DESC;§Y[Root.Ruler.GetTitle] $NAME$§!\nAge: $AGE|Y$\nCulture: $CULTURE|Y$\nReligion: $RELIGION|Y$;;;;;;;;;;;;;;x

OFFMAP_MAP_MODE_DESC_DELAYED;Blue indicates realms that are within diplomatic range of the §Y[Root.GetName]§!.\nGreen indicates realms that have a peace treaty with the §Y[Root.GetName]§!.\nPurple indicates realms that are paying tribute to the §Y[Root.GetName]§!.\nRed indicates the realm of the §Y[Root.Offmap.Governor.GetTitle]§!.;;;;;;;;;;;;;;x

OFFMAP_TRIBUTARIES_TOOLTIP_DESC;A tributary of [Root.GetShortGenericName] will be able to raise a regiment of troops when at war, as long as the [Root.GetName] is stable and prospering.;;;;;;;;;;;;;;x
OFFMAP_NAPS_TOOLTIP_DESC;Rulers may sign Peace Deals with the [Root.GetName], to ensure that they will not be the target of an invasion.;;;;;;;;;;;;;;x

OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nOpen interaction with §Y$OFFMAP$§!.;;;;;;;;;;;;;;x
OFFMAP_VIEW_BUTTON_DELAYED;Press §GRight Click§! to open Map Mode for $OFFMAP|Y$§G.;;;;;;;;;;;;;;

TRIBUTARY_OFFMAP_MEXIKHA_NAME;Tributary;;;;;;;;;;;;;;x
TRIBUTARY_OFFMAP_MEXIKHA_PLURAL;Tributaries;;;;;;;;;;;;;;x
SUZERAIN_OFFMAP_MEXIKHA_NAME;Suzerain;;;;;;;;;;;;;;x

triangular_trade_route;Triangular Trade Route;;;;;;;;;;;;;;x

mexikha_eunuch_cd;§YRecently Sent a Eunuch§!;;;;;;;;;;;;;;x
mexikha_eunuch_cd_desc;You have recently sent a Eunuch to Mexikha, you will be able to send another one on: §Y[Root.mexikhan_grace_send_eunuch_timer.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_commander_cd;§YRecently Sent Commander§!;;;;;;;;;;;;;;x
mexikha_commander_cd_desc;You have recently sent a Commander to Mexikha, if Mexikha is still in turmoil you will be able to send another one on: §Y[Root.mexikhan_grace_send_commander_timer.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_concubine_cd;§YRecently Sent a Concubine§!;;;;;;;;;;;;;;x
mexikha_concubine_cd_desc;You have recently sent a Concubine to Mexikha, you will be able to send another one on: §Y[Root.mexikhan_grace_send_concubine_timer.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_boon_cd;§YRecently Asked for Boon§!;;;;;;;;;;;;;;x
mexikha_boon_cd_desc;You have recently asked Mexikha for a Boon, you will be able to ask for another one on: §Y[Root.ssi_mexikha_boon_cd.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_tributary_cd;§YRecently Broke Free§!;;;;;;;;;;;;;;x
mexikha_tributary_cd_desc;You have recently broken free from being a Tributary of Mexikha. You will be able to ask to become one again on: §Y[Root.mexikhan_grace_tributary_timer.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_gift_cd;§YRecently Sent Gift§!;;;;;;;;;;;;;;x
mexikha_famine_cd;§YRecently Sent Relief!§!;;;;;;;;;;;;;;x
mexikha_famine_cd_desc;You have recently sent Famine Relief to Mexikha, if Mexikha is still suffering from a Famine you will be able to send another expedition on: §Y[Root.mexikha_send_relief.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_gift_cd_desc;You have recently sent a Gift to Mexikha, you will be able to send another one on: §Y[Root.mexikhan_grace_send_gift_timer.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_raid_cd;§YRecently Raided Mexikha!§!;;;;;;;;;;;;;;x
mexikha_raid_cd_desc;You have recently stopped Raiding Mexikha, you will be able to resume raiding on: §Y[Root.mexikha_raid_grace_cd.GetExpiryDate]§!;;;;;;;;;;;;;;x
mexikha_physician_cd;§YSent a Physician§!;;;;;;;;;;;;;;x
mexikha_physician_cd_desc;You have already sent a Physician to Mexikha, you will not be able to send another one.;;;;;;;;;;;;;;x

turquoise_serpent;Jade Serpent;Serpent de Jade;Jadeschlange;;Serpiente de jade;;;;;;;;;x
turquoise_serpent_desc;Desired by many for its intrinsic value and the beautiful design which displays the height of the [offmap_mexikha.GetFullGenericName], this intricately designed serpent made out of jade by a master [From.OriginalOwner.Culture.GetName] craftsman is a very unique treasure.;Nombreux sont ceux qui le veulent pour sa valeur intrinsèque et son esthétique affichant la grandeur de [offmap_mexikha.GetFullGenericName], ce serpent finement sculpté fait en jade par un maître-artisan [From.OriginalOwner.GetCultureMasc] est un trésor unique.;Von vielen für seinen inneren Wert und das schöne Design geschätzt, wurde dieser kompliziert entworfene Schlange aus Jade von einem meisterhaften [From.OriginalOwner.Culture.GetName]en Handwerker geschaffen und ist quasi ein einzigartiger Schatz.;;Deseado por muchos por su valor intrínseco y el hermoso diseño que muestra la altura del [offmap_mexikha.GetFullGenericName], este serpiente intricadamente diseñado de jade por un maestro artesano [From.OriginalOwner.Culture.GetName] es un tesoro único.;;;;;;;;;x
turquoise_mask;Jade mask;Masque de Jade;Jademaske;;Máscara de jade;;;;;;;;;x
turquoise_mask_desc;Products by masterful [From.OriginalOwner.Culture.GetName] goldsmiths, this turquoise mosaic mask played an important role in both political and religious functions.;;;;;;;;;x
jaguar_cloak;Jaguar Cloak;Cape Jaguar;Jaguar-Umhang;;Capa de jaguar;;;;;;;;;x
jaguar_cloak_desc;The luxury jaguar-skin coat. Worn above a suit of armor.;;;;;;;;;;;;;;x
aztec_macuahuitl;Macuahuitl;Macuahuitl;Macuahuitl;;Macuahuitl;;;;;;;;;x
aztec_macuahuitl_desc;A hard-wooden club with several embedded obsidian, which is capable of producing an edge sharper than steel blades.;;;;;;;;;;;;;;x
aztec_sling;Tematlatl;Tematlatl;Tematlatl;;Tematlatl;;;;;;;;;x
aztec_sling_desc;Made with fibers from the exotic plant, it's used to hurl a pebble long distances.;;;;;;;;;;;;;;x
aztec_heart;Heart of a [From.GetBestName];;;;;;;;;x
aztec_heart_desc;Inside this magnificent box sits the preserved heart of [From.GetBestName].;;;;;;;;;;;;;;x
crystal_skull;Crystal Skull;Crâne de cristal;Kristallschädel;;Cráneo de cristal;;;;;;;;;x
crystal_skull_desc;A skull-shaped sculpture carved in translucent quartz.;;;;;;;;;;;;;;x
mexikhan_prev_emperor_sculpture;Small Figurine;Petite figurine;Kleine Figur;;Estatuilla;;;;;;;;;x
mexikhan_prev_emperor_sculpture_desc;A small figurine depicting a former Huetlatoani of Mexikha. Though small, it has intricate details and shows great craftsmanship.;Une petite figurine représentant un ancien huetlatoani de Mexique. Bien que petite, elle a des détails très élaborés et témoigne d'un grand artisanat.;Eine kleine Figur, die einen ehemaligen Huetlatoani von Mexiko darstellt. Obwohl klein, hat sie komplizierte Details und zeigt große Handwerkskunst.;;Una figurita que representa al huetlatoani anterior. Aunque pequeña, tiene muchos detalles y muestra una gran destreza.;;;;;;;;;x

String_mexikhan_profession_fallback;Mexikhan refugee;;;;;;;;;;;;;;x

String_random_region_mexikha;improvement of [GetRandomMexikhanRegion];;;;;;;;;;;;;;x
String_random_faction_mexikha;unrest led by [GetRandomMexikhanFaction];;;;;;;;;;;;;;x

String_End_Stable_mexikha;The status quo in Mexikha is over;;;;;;;;;;;;;;x
String_End_Unrest_mexikha;The period of Unrest in Mexikha has come to an end and the surviving militant peasants have returned to till their fields;;;;;;;;;;;;;;x
String_End_Famine_mexikha;The Great Famine in Mexikha is finally over;;;;;;;;;;;;;;x
String_End_Plague_mexikha;The Pale Rider is done reaping his terrible harvest in Mexikha and the Devastating Plague appears to have receded;;;;;;;;;;;;;;x
String_End_Invasion_mexikha;The [offmap_mexikha.GetMexikhanInvader] armies have given up on their ill-fated invasion of Mexikha;;;;;;;;;;;;;;x
String_End_Civil_War_mexikha;The Mexikhan Civil War is over and the last rebel bastion has fallen;;;;;;;;;;;;;;x
String_End_Unrest_Worsened_mexikha;The period of Unrest in Mexikha has dramatically worsened;;;;;;;;;;;;;;x
String_End_Civil_War_to_Invasion_mexikha;The Mexikhan Civil War is over and the last rebel bastion has fallen, yet the turmoil in the [offmap_mexikha.GetFullName] is not over..;;;;;;;;;;;;;;x
String_End_Golden_Age_mexikha;The Mexikhan Golden Age appears to be over;;;;;;;;;;;;;;x

String_Iso_Painting;practice the art of painting;de pratiquer l'art de la peinture;die Kunst des Malens erlernt;;practicar el arte de pintar;;;;;;;;;x
String_Iso_Tonalpohualli;divine the secrets of the Tonalpohualli;de deviner les secrets du Tonalpohualli;die göttlichen Geheimnisse des Tonalpohualli ergründet;;descubrir los secretos de Tonalpohualli;;;;;;;;;x
String_Iso_Monroe;ponder the wisdom of Master M'onroe;de réfléchir sur la sagesse de M'onroe;die Weisheiten von Meisters M'onroe betrachtet;;cuestionar la sabiduría del maestro M'onroe;;;;;;;;;x

String_the_Mexikhan_food;the food of the Mexikha, involving a wide range of flavors and spices;;;;;;;;;;;;;;x
String_the_construction_of_Mexikhan_warships;the construction of certain Mexikhan warship, with fine carvings painted in red, and how they always carry names such as 'We Are His Slaves' or 'Enemy of Both Sides';;;;;;;;;;;;;;x
String_a_pleasure_trip_on_a_capital_lake;a pleasure trip made on a majestic city in a lake, and the magnificent landscape of the Empire;;;;;;;;;;;;;;x
String_crowded_Mexikhan_water_routes;how any water route through a Mexikhan city seems to be constantly crowded by traffic, with ships and boats everywhere;;;;;;;;;;;;;;x
String_Mexikhan_so_full_of_life;how the Mexikha is so full of life, and there are people everywhere;;;;;;;;;;;;;;x
String_Mexikhan_such_a_wealthy_realm;how the realm is so wealthy, and every inch of the Mexikha seems to be used to house or nourish its people;;;;;;;;;;;;;;x

String_Tenochtitlan;Tenochtitlan;;;;;;;;;;;;;;x
String_Texcoco;Texcoco;;;;;;;;;;;;;;x
String_Tlacopan;Tlacopan;;;;;;;;;;;;;;x
String_Azcapotzalco;Azcapotzalco;;;;;;;;;;;;;;x
String_Chalco;Chalco;;;;;;;;;;;;;;x
String_Tollan;Tollan;;;;;;;;;;;;;;x

String_Arbitrary_Tributary;arbitrary tributary;;;;;;;;;;;;;;x
String_Ambitious_Archpriest;ambitious archpriest;;;;;;;;;;;;;;x
String_Disgruntled_Nobles;disgruntled nobles;;;;;;;;;;;;;;x

NEWS_FROM_MEXIKHA;News from Mexikha;;;;;;;;;;;;;;x

DEATH_IN_MEXIKHA;died in Mexikha at the hands of $KILLER$;;;;;;;;;;;;;;x
DEATH_IN_MEXIKHA_NO_KILLER;died in Mexikha;;;;;;;;;;;;;;x
DEATH_WENT_BACK_TO_MEXIKHA;was sent home to Mexikha by $KILLER$;;;;;;;;;;;;;;x
DEATH_WENT_BACK_TO_MEXIKHA_NO_KILLER;returned home to Mexikha;;;;;;;;;;;;;;x
DEATH_EXECUTED_BY_MEXIKHAN_HUETLATOANI;was executed on the orders of the Mexikhan Huetlatoani $KILLER$;;;;;;;;;;;;;;x
DEATH_EXECUTED_BY_MEXIKHAN_HUETLATOANI_NO_KILLER;was executed in Mexikha;;;;;;;;;;;;;;x
DEATH_DATE_MEXIKHA;Went to Mexikha: $DATE|Y$ at age $AGE|Y$;;;;;;;;;;;;;;x
DEATH_DATE_MEXIKHA_RETURN;Returned to Mexikha: $DATE|Y$ at age $AGE|Y$;;;;;;;;;;;;;;x
DEATH_WENT_TO_MEXIKHA;left their old life behind to travel to Mexikha, on the order of $KILLER$;;;;;;;;;;;;;;x
DEATH_WENT_TO_MEXIKHA_NO_KILLER;left their old life behind to travel to Mexikha;;;;;;;;;;;;;;x
DEATH_IN_FOREIGN;died in a distance land at the hands of $KILLER$;;;;;;;;;;;;;;x
DEATH_IN_FOREIGN_NO_KILLER;died in a distance land;;;;;;;;;;;;;;x

force_open_mexikha_cb_desc;[offmap_mexikha.GetShortName] has closed its borders and halted trade on the Triangular Trade Route. This is unacceptable - the trade must flow!;;;;;;;;;;;;;;x
CB_NAME_FORCE_OPEN_MEXIKHA;Force Open [offmap_mexikha.GetShortName];;;;;;;;;;;;;;x
WAR_NAME_FORCE_OPEN_MEXIKHA;The $ORDER$$FIRST_ADJ$ War to Force Open the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x

CB_NAME_DESTABILIZATION_MEXIKHA;Shatter Realm;;;;;;;;;;;;;;x
WAR_NAME_DESTABILIZATION_MEXIKHA;$ORDER$$FIRST_ADJ$ War to Shatter the Realm of $DEFENDER$;;;;;;;;;;;;;;x
destabilization_mexikha_success_tt;All held Kingdoms and Empires are destroyed.;;;;;;;;;;;;;;x
destabilization_mexikha_cb_desc;Mexikha can, by way of war, shatter realms they consider too big for their own good.;;;;;;;;;;;;;;x

CB_NAME_INVASION_OF_MEXIKHA;Invasion of [offmap_mexikha.GetShortName];;;;;;;;;;;;;;x
WAR_NAME_INVASION_OF_MEXIKHA;$ORDER$$FIRST_ADJ$ Invasion of the [offmap_mexikha.GetFullName];;;;;;;;;;;;;;x
invasion_of_mexikha_cb_desc;The [offmap_mexikha.GetFullName] has been a thorn in our side long enough - no more!;;;;;;;;;;;;;;x

tributary_offmap_mexikha_cb_desc;Mexikha can, by way of war, force realms to pay them tribute.;;;;;;;;;;;;;;x
offmap_submission_desc;Mexikha can, by way of war, force realms to submit to them.;;;;;;;;;;;;;;x

jaguar_pet;Jaguars;;;;;;;;;;;;;;x
jaguar_pet_desc;This character has captured a pair of jaguars and is keeping them as pets.;;;;;;;;;;;;;;x

the_mexikhan_imperials_favorite;[Root.GetFirstName]'s Favorite [This.GetName];;;;;;;;;;;;;;x
the_mexikhan_imperials_favorite_desc;A favored item from [Root.GetTitledName]'s childhood, sent to [Root.GetHerHis] family in [Root.Liege.Capital.Capital.GetName], upon [Root.GetHerHis] death.;;;;;;;;;;;;;;x
mexikhan_journal;Mexikhan Journal;;;;;;;;;;;;;;x
mexikhan_journal_desc;This looks like a personal notebook.;;;;;;;;;;;;;;x
the_mexikhan_imperials_personal_note_book;The Journal of [Root.GetFirstName];;;;;;;;;;;;;;x
the_mexikhan_imperials_personal_note_book_desc;The collected writings of [Root.GetTitledName], documenting everything from travels in the [offmap_mexikha.GetFullName], to finding one's place in the [Root.Liege.GetCapitalHolding] of [Root.Liege.Capital.Capital.GetName], and [Root.Liege.Culture.GetName] court. And the family [Root.GetSheHe] built there.;;;;;;;;;;;;;;x

angered_mexikha_tt;[Root.GetTitledFirstName] gets 'Angered Mexikha' for 50 years, decreasing Monthly Prestige by §R-0.50§! and Monthly Antilytron by §R-2§!.;;;;;;;;;;;;;;x
angered_mexikha_modifier;Angered Mexikha;;;;;;;;;;;;;;x
angered_mexikha_modifier_desc;Mexikha is most displeased with you...;;;;;;;;;;;;;;x

String_force_open_mexikha_demands_tribute;show your loyalty to the [offmap_mexikha.Ruler.GetHerHim] by becoming a Tributary;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_trade_post;remove some of your traders that are disrupting our men along the Triangular Trade Route;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_wealth;make a grand gesture to [offmap_mexikha.Ruler.GetHerHim] showing your honor and respect;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_eunuch;send a skilled man from your court to serve [offmap_mexikha.Ruler.GetHerHim] personally;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_concubine;send a beautiful woman to join [offmap_mexikha.Ruler.GetHerHis] court;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_mexikhan;allow the loyal servants of [offmap_mexikha.GetShortName] at your court to return home;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_tribute_mexikha;show [This.GetHerHis] loyalty to the [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap] by becoming a Tributary;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_trade_post_mexikha;remove some of [This.GetHerHis] traders that are disrupting the [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap]'s men along the Triangular Trade Route;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_wealth_mexikha;make a grand gesture to [offmap_mexikha.Ruler.GetHerHim] showing [This.GetHerHis] honor and respect;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_eunuch_mexikha;send a skilled man from [This.GetHerHis] court to serve the [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap] personally;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_concubine_mexikha;send a beautiful woman to join the [offmap_mexikha.Ruler.GetTlatoaniCihuatlatoaniCap]'s court;;;;;;;;;;;;;;x
String_force_open_mexikha_demands_mexikhan_mexikha;allow the loyal servants of [offmap_mexikha.GetShortName] at [This.GetHerHis] court to return home;;;;;;;;;;;;;;x

mexikha_supply_horses;Supplying Horses to Mexikha;;;;;;;;;;;;;;x
mexikha_supply_horses_desc;This ruler is supplying Mexikha with horses.;;;;;;;;;;;;;;x
mexikhan_grace_supply_horses_not_already_supplying_tt;Is NOT already supplying horses;;;;;;;;;;;;;;x
mexikhan_grace_supply_horses_stopped_supplying_tt;Has NOT previously chosen to stop supplying horses;;;;;;;;;;;;;;x

mexikhan_swear_strike_back_at_mainland;I'll be back.;;;;;;;;;;;;;;x
mexikhan_swear_strike_back_at_mainland_desc;This ruler is swearing off striking back the mainland Mexikha.;;;;;;;;;;;;;;x

mexikhan_grace_stop_supply_horses;Stop Supplying Horses;Arrêter l'envoi de chevaux;Pferdelieferung beenden;;Dejar de suministrar caballos.;;;;;;;;;x
mexikhan_grace_stop_supply_horses_desc;If you no longer require the §Y[Root.Offmap.GetFullName]§!'s antilytron, you can choose to stop supplying horses to them. You will be unable to start supplying horses again with this character.;Si n'avez plus besoin de la Grâce de §Y[Root.Offmap.GetFullName]§!, vous pouvez choisir de ne plus l'approvisionner en chevaux. Il vous sera impossible de le refaire avec ce personnage.;Wenn Ihr die Gunst von §Y[Root.Offmap.GetFullName]§! nicht länger benötigt, könnt Ihr die Versorgung mit Pferden beenden. Ihr könnt dann allerdings mit diesem Charakter nicht wieder mit der Lieferung beginnen.;;Si ya no necesitas la gracia de §Y[Root.Offmap.GetFullName]§!, puedes dejar de suministrarle caballos. No podrás volver a suministrar caballos con este personaje.;;;;;;;;;x

mexikhan_embargo;Mexikhan Embargo;;;;;;;;;;;;;;x
mexikha_send_relief;Sending Relief to Mexikha;;;;;;;;;;;;;;x
courtier_from_mexikha_trigger_tt;Is a courtier from Mexikha;;;;;;;;;;;;;;x
tributary_independence_mexikha;Stop Paying Tribute;Arrêter de payer le tribut;Tributzahlung beenden;;Dejar de pagar tributo;;;;;;;;;x
tributary_independence_mexikha_tt;You will NOT be able to become a tributary of Mexikha for the next 30 years or until the ruling dynasty of Mexikha has changed.;;;;;;;;;;;;;;x
is_not_from_mexikha_tt;Is NOT from Mexikha;;;;;;;;;;;;;;x
will_leave_for_mexikha_tt;§Y[This.GetTitledName]§! will leave [This.GetHerHis] current life behind and make a new one for [This.GetHerselfHimself] in Mexikha.\n;;;;;;;;;;;;;;x
will_return_to_mexikha_tt;§Y[This.GetTitledName]§! will leave [This.GetHerHis] life at court and return home to the distant [offmap_mexikha.GetFullName].;;;;;;;;;;;;;;x
String_mexikhan_character_role_fallback;courtier;;;;;;;;;;;;;;x

obj_aggression_zero_title;Become [This.GetChancellorName];Devenir [This.GetChancellorName];[This.GetChancellorName] werden;;Convertirse en [This.GetChancellorName];;;;;;;;;x
obj_aggression_zero_desc;[This.GetTitledFirstName] would like to treat with foreign dignitaries in the court of [This.GetPossPronoun] liege.;[This.Get_Le_TitledFirstName] aimerait traiter avec des dignitaires étrangers à la Cour de son seigneur lige.;[This.GetTitledFirstName] möchte am Hof [This.GetPossPronoun]es Lehnsherrn mit auswärtigen Würdenträgern verhandeln.;;A [This.GetTitledFirstName] le gustaría relacionarse con dignatarios extranjeros en la corte de su señor.;;;;;;;;;x
obj_become_chancellor_fake_tip;Is [This.GetChancellorName] of [Root.Offmap.GetFullName];;;;;;;;;;;;;;x

DEATH_WENT_TO_MEXIKHA_NO_KILLER;left their old life behind to travel to the New World;a abandonné son ancienne vie pour se rendre en Chine;ließ das alte Leben zurück und reiste ins Kaiserreich China;;dejó su vida atrás para viajar al Imperio chino;;;;;;;;;x
